"threshold","TPR","FPR","TP","FP","FN","TN","youden_j"
0.25,0.989130434782609,0.931623931623932,91,109,1,8,0.057506503158677
0.35,0.989130434782609,0.888888888888889,91,104,1,13,0.10024154589372
0.45,0.989130434782609,0.863247863247863,91,101,1,16,0.125882571534745
0.55,0.978260869565217,0.829059829059829,90,97,2,20,0.149201040505388
0.65,0.956521739130435,0.803418803418803,88,94,4,23,0.153102935711631
0.75,0.956521739130435,0.786324786324786,88,92,4,25,0.170196952805649
0.85,0.945652173913043,0.726495726495726,87,85,5,32,0.219156447417317
0.95,0.945652173913043,0.683760683760684,87,80,5,37,0.26189149015236
1.05,0.91304347826087,0.641025641025641,84,75,8,42,0.272017837235228
1.15,0.91304347826087,0.623931623931624,84,73,8,44,0.289111854329246
1.25,0.891304347826087,0.606837606837607,82,71,10,46,0.28446674098848
1.35,0.880434782608696,0.606837606837607,81,71,11,46,0.273597175771089
1.45,0.858695652173913,0.598290598290598,79,70,13,47,0.260405053883315
1.55,0.858695652173913,0.58974358974359,79,69,13,48,0.268952062430323
1.65,0.83695652173913,0.572649572649573,77,67,15,50,0.264306949089558
1.75,0.83695652173913,0.555555555555556,77,65,15,52,0.281400966183575
1.85,0.804347826086957,0.547008547008547,74,64,18,53,0.257339279078409
1.95,0.793478260869565,0.538461538461538,73,63,19,54,0.255016722408027
2.05,0.793478260869565,0.512820512820513,73,60,19,57,0.280657748049052
2.15,0.782608695652174,0.487179487179487,72,57,20,60,0.295429208472687
2.25,0.760869565217391,0.47008547008547,70,55,22,62,0.290784095131921
2.35,0.739130434782609,0.444444444444444,68,52,24,65,0.294685990338164
2.45,0.739130434782609,0.427350427350427,68,50,24,67,0.311780007432181
2.55,0.739130434782609,0.418803418803419,68,49,24,68,0.32032701597919
2.65,0.728260869565217,0.393162393162393,67,46,25,71,0.335098476402824
2.75,0.673913043478261,0.376068376068376,62,44,30,73,0.297844667409885
2.85,0.652173913043478,0.367521367521368,60,43,32,74,0.284652545522111
2.95,0.630434782608696,0.358974358974359,58,42,34,75,0.271460423634337
3.05,0.619565217391304,0.35042735042735,57,41,35,76,0.269137866963954
3.15,0.608695652173913,0.324786324786325,56,38,36,79,0.283909327387588
3.25,0.58695652173913,0.324786324786325,54,38,38,79,0.262170196952806
3.35,0.576086956521739,0.324786324786325,53,38,39,79,0.251300631735414
3.45,0.565217391304348,0.316239316239316,52,37,40,80,0.248978075065032
3.55,0.565217391304348,0.299145299145299,52,35,40,82,0.266072092159049
3.65,0.543478260869565,0.290598290598291,50,34,42,83,0.252879970271275
3.75,0.510869565217391,0.290598290598291,47,34,45,83,0.220271274619101
3.85,0.5,0.273504273504274,46,32,46,85,0.226495726495726
3.95,0.478260869565217,0.264957264957265,44,31,48,86,0.213303604607952
